,Minutes,Players
0,1,"Egbuna,Toby"
1,1,"Dalton,Spenser"
2,1,"Coker,Kanler"
3,1,"Williams,Kenny"
4,3,"Rafferty,Kevin"
5,2,"Lowe,Henry"
6,3,"Cole,C.J."
7,1,"Goss,Collin"
8,3,"Roland,Jordan"
9,1,"Goss,Collin"
10,1,"U'u,Parker"
11,1,"Perez,Ben"
12,1,"Williams,D'Erryl"
13,1,"Highsmith,Dontel"
14,1,"Rodriguez,Kaileb"
15,1,"Williams,Treshaad"
16,3,"Olujobi,Femi"
17,6,"Law,Aaron"
18,5,"Pfleuger,Rex"
19,2,"Ryan,Matt"
20,2,"Niego,Harrison"
21,1,"Priller,Tim"
22,1,"Tharp,Jackson"
23,1,"Maye,Luke"
24,1,"Dalton,Spenser"
25,1,"Coleman,Justin"
26,1,"Coker,Kanler"
27,1,"White,Stilman"
28,3,"Miller,Tavario"
29,1,"Robinson,Mike"
30,1,"Stowell,Chris"
31,1,"Lowe,Henry"
32,1,"Rafferty,Kevin"
33,5,"Law,Aaron"
34,1,"Castlin,Kyle"
35,1,"Swan,Anthony"
36,3,"Williams,Tiremone"
37,1,"Sinnickson,Dylan"
38,1,"Rodriguez,Kaileb"
39,1,"Botteri,Justin"
40,1,"Stivrins,Lucas"
41,1,"Gollon,James"
42,1,"Porter,Franklin"
43,1,"Joseph,Max"
44,1,"Roland,Jordan"
45,1,"Johnson,Brandon"
46,3,"Jenkins,Chris"
47,2,"Jorgenson,Travis"
48,1,"Odomes,Rashard"
49,2,"Baumann,Javon"
50,2,"Porter,Franklin"
51,2,"Friedman,Ted"
52,1,"Knar,Robert"
53,1,"Ellingson,Brady"
54,1,"Ukah,Okey"
55,1,"Soukup,Steven"
56,1,"Farrell,Patrick"
57,1,"Lowe,Henry"
58,1,"Rafferty,Kevin"
59,3,"Law,Aaron"
60,1,"Holmes Jr.,Kevin"
61,1,"Albert,Malik"
62,1,"Burns,Deondre"
63,2,"Ashton,Jordan"
64,1,"Carter,Simeon"
65,1,"Matthews,Charles"
66,2,"Palmer,James"
67,1,"Planek,Tom"
68,1,"Maye,Luke"
69,1,"Egbuna,Toby"
70,1,"Dalton,Spenser"
71,1,"White,Stilman"
72,1,"Williams,Kenny"
73,2,"Triano,Dustin"
74,2,"Eastman,Austin"
75,6,"Nolte,Evan"
76,1,"Wehrli,Bobby"
77,2,"Alston,Shawn"
78,10,"Brantley,Jaylen"
79,7,"Hollins,Justin"
80,1,"Barnes,Bray"
81,2,"McNeace,Jamuni"
82,1,"Odomes,Rashard"
83,3,"Kennedy,Thomas"
84,3,"Rielly,Patrick"
85,1,"Friedman,Ted"
86,3,"Brown,Anthony"
87,1,"Aparicio,Juan"
88,2,"Zilli,Giacomo"
89,2,"Rafferty,Kevin"
90,2,"Romeo,Richard"
91,2,"Smith,Sterling"
92,1,"Coker,Kevin"
93,1,"Bergen,Alex"
94,1,"Stainbrook,Tim"
95,5,"Ghani,Khaliq"
96,6,"Brent,Javeres"
97,2,"Stancil,Troy"
98,1,"White,Jackson"
99,3,"Burton,Ryan"
100,1,"Niego,Harrison"
101,2,"Budrys,Domas"
102,2,"Young,Clay"
103,1,"Nyama,Roland"
104,1,"Floreal,E.J."
105,1,"David,Jonny"
106,1,"Rakicevic,Nikola"
107,1,"Mahoney,Dolan"
108,1,"White,Stilman"
109,1,"Maye,Luke"
110,1,"Egbuna,Toby"
111,1,"Dalton,Spenser"
112,1,"Coleman,Justin"
113,1,"Beach,Jack"
114,1,"Alberts,Bryan"
115,1,"Dowdy Jr.,Michael"
116,1,"Anderson,Braeden"
117,1,"Fazekas,Ryan"
118,4,"Madison,Tyler"
119,1,"Love,Lionel"
120,1,"Guinn,Davin"
121,1,"Aytes,Jamal"
122,1,"Shaw,Braiden"
123,4,"Toriola,Moses"
124,2,"Keenan,Ryan"
125,1,"King,Scott"
126,1,"Hill,Matt"
127,1,"Smith,Steve"
128,2,"Bunting,Jesse"
129,7,"Knowles,Danrad"
130,1,"Dupree,Xavier"
131,1,"VanBeck,Wes"
132,1,"Rowland,Rand"
133,1,"Bloom,David"
134,1,"Pillari,Daniel"
135,2,"Rodriguez,Kaileb"
136,1,"Anderson,Juwan"
137,6,"Shustov,Vlad"
138,1,"Patterson,Trey"
139,3,"Idris,Teslim"
140,7,"Spurgeon,Jake"
141,4,"Clair,Manroop"
142,1,"Liggeons,Devin"
143,3,"Tyson,Jordan"
144,3,"Rayner,Khyan"
145,3,"Law,Aaron"
146,1,"Schaffer,Lawson"
147,1,"Stewart,Marlon"
148,2,"Taylor,Roderick"
149,3,"Odum,Karlos"
150,2,"Dauda,Ismaila"
151,1,"Driscoll,Chase"
152,1,"Gonzalez,Stefan"
153,1,"Poulter,Andrew"
154,9,"Fisher,Evan"
155,2,"Gooding,Dexter"
156,1,"Wamukota,Bush"
157,3,"Justice,Camron"
158,1,"Ljeskovic,Uros"
159,3,"Love,Marcus"
160,8,"Ruttley,Jermaine"
161,1,"McDowell,Jake"
162,1,"Scott,Dante"
163,1,"Noyes,Mike"
164,1,"Foxen,Christian"
165,1,"Hawkins,Dominique"
166,1,"Clover,Chris"
167,1,"Casper,Brendan"
168,4,"Kadiri,David"
169,1,"Baumann,Javon"
170,1,"Stancil,Troy"
171,1,"Floreal,E.J."
172,3,"Brantley,Jaylen"
173,2,"Richmond,Phil"
174,1,"Bittner,Sam"
175,3,"Juricek,Viktor"
176,1,"Shortess,Henry"
177,1,"Distefano,T.J."
178,1,"Byers,Frank"
179,1,"Aparicio,Juan"
180,2,"Nzei,Michael"
181,1,"Williams,Matt"
182,3,"Burston,Torey"
183,2,"Miller,Sam"
184,2,"Bittner,Sam"
185,2,"Oliver,T.J."
186,2,"Nkali,Bertrand"
187,1,"Davis,Bennett"
