Minutes,Players
1,"Egbuna,Toby"
1,"Dalton,Spenser"
1,"Coker,Kanler"
1,"Williams,Kenny"
3,"Rafferty,Kevin"
2,"Lowe,Henry"
3,"Cole,C.J."
1,"Goss,Collin"
3,"Roland,Jordan"
1,"Goss,Collin"
1,"U'u,Parker"
1,"Perez,Ben"
1,"Williams,D'Erryl"
1,"Highsmith,Dontel"
1,"Rodriguez,Kaileb"
1,"Williams,Treshaad"
3,"Olujobi,Femi"
6,"Law,Aaron"
5,"Pfleuger,Rex"
2,"Ryan,Matt"
2,"Niego,Harrison"
1,"Priller,Tim"
1,"Tharp,Jackson"
1,"Maye,Luke"
1,"Dalton,Spenser"
1,"Coleman,Justin"
1,"Coker,Kanler"
1,"White,Stilman"
3,"Miller,Tavario"
1,"Robinson,Mike"
1,"Stowell,Chris"
1,"Lowe,Henry"
1,"Rafferty,Kevin"
5,"Law,Aaron"
1,"Castlin,Kyle"
1,"Swan,Anthony"
3,"Williams,Tiremone"
1,"Sinnickson,Dylan"
1,"Rodriguez,Kaileb"
1,"Botteri,Justin"
1,"Stivrins,Lucas"
1,"Gollon,James"
1,"Porter,Franklin"
1,"Joseph,Max"
1,"Roland,Jordan"
1,"Johnson,Brandon"
3,"Jenkins,Chris"
2,"Jorgenson,Travis"
1,"Odomes,Rashard"
2,"Baumann,Javon"
2,"Porter,Franklin"
2,"Friedman,Ted"
1,"Knar,Robert"
1,"Ellingson,Brady"
1,"Ukah,Okey"
1,"Soukup,Steven"
1,"Farrell,Patrick"
1,"Lowe,Henry"
1,"Rafferty,Kevin"
3,"Law,Aaron"
1,"Holmes Jr.,Kevin"
1,"Albert,Malik"
1,"Burns,Deondre"
2,"Ashton,Jordan"
1,"Carter,Simeon"
1,"Matthews,Charles"
2,"Palmer,James"
1,"Planek,Tom"
1,"Maye,Luke"
1,"Egbuna,Toby"
1,"Dalton,Spenser"
1,"White,Stilman"
1,"Williams,Kenny"
2,"Triano,Dustin"
2,"Eastman,Austin"
6,"Nolte,Evan"
1,"Wehrli,Bobby"
2,"Alston,Shawn"
10,"Brantley,Jaylen"
7,"Hollins,Justin"
1,"Barnes,Bray"
2,"McNeace,Jamuni"
1,"Odomes,Rashard"
3,"Kennedy,Thomas"
3,"Rielly,Patrick"
1,"Friedman,Ted"
3,"Brown,Anthony"
1,"Aparicio,Juan"
2,"Zilli,Giacomo"
2,"Rafferty,Kevin"
2,"Romeo,Richard"
2,"Smith,Sterling"
1,"Coker,Kevin"
1,"Bergen,Alex"
1,"Stainbrook,Tim"
5,"Ghani,Khaliq"
6,"Brent,Javeres"
2,"Stancil,Troy"
1,"White,Jackson"
3,"Burton,Ryan"
1,"Niego,Harrison"
2,"Budrys,Domas"
2,"Young,Clay"
1,"Nyama,Roland"
1,"Floreal,E.J."
1,"David,Jonny"
1,"Rakicevic,Nikola"
1,"Mahoney,Dolan"
1,"White,Stilman"
1,"Maye,Luke"
1,"Egbuna,Toby"
1,"Dalton,Spenser"
1,"Coleman,Justin"
1,"Beach,Jack"
1,"Alberts,Bryan"
1,"Dowdy Jr.,Michael"
1,"Anderson,Braeden"
1,"Fazekas,Ryan"
4,"Madison,Tyler"
1,"Love,Lionel"
1,"Guinn,Davin"
1,"Aytes,Jamal"
1,"Shaw,Braiden"
4,"Toriola,Moses"
2,"Keenan,Ryan"
1,"King,Scott"
1,"Hill,Matt"
1,"Smith,Steve"
2,"Bunting,Jesse"
7,"Knowles,Danrad"
1,"Dupree,Xavier"
1,"VanBeck,Wes"
1,"Rowland,Rand"
1,"Bloom,David"
1,"Pillari,Daniel"
2,"Rodriguez,Kaileb"
1,"Anderson,Juwan"
6,"Shustov,Vlad"
1,"Patterson,Trey"
3,"Idris,Teslim"
7,"Spurgeon,Jake"
4,"Clair,Manroop"
1,"Liggeons,Devin"
3,"Tyson,Jordan"
3,"Rayner,Khyan"
3,"Law,Aaron"
1,"Schaffer,Lawson"
1,"Stewart,Marlon"
2,"Taylor,Roderick"
3,"Odum,Karlos"
2,"Dauda,Ismaila"
1,"Driscoll,Chase"
1,"Gonzalez,Stefan"
1,"Poulter,Andrew"
9,"Fisher,Evan"
2,"Gooding,Dexter"
1,"Wamukota,Bush"
3,"Justice,Camron"
1,"Ljeskovic,Uros"
3,"Love,Marcus"
8,"Ruttley,Jermaine"
1,"McDowell,Jake"
1,"Scott,Dante"
1,"Noyes,Mike"
1,"Foxen,Christian"
1,"Hawkins,Dominique"
1,"Clover,Chris"
1,"Casper,Brendan"
4,"Kadiri,David"
1,"Baumann,Javon"
1,"Stancil,Troy"
1,"Floreal,E.J."
3,"Brantley,Jaylen"
2,"Richmond,Phil"
1,"Bittner,Sam"
3,"Juricek,Viktor"
1,"Shortess,Henry"
1,"Distefano,T.J."
1,"Byers,Frank"
1,"Aparicio,Juan"
2,"Nzei,Michael"
1,"Williams,Matt"
3,"Burston,Torey"
2,"Miller,Sam"
2,"Bittner,Sam"
2,"Oliver,T.J."
2,"Nkali,Bertrand"
1,"Davis,Bennett"
2,"Stancil,Troy"
2,"Schaffer,Lawson"
3,"Matthews,Charles"
1,"Floreal,E.J."
2,"Epps,Devin"
2,"Marlin,Matt"
1,"Broussard,Jacob"
3,"Bridgewater,Brian"
3,"Hammond,Jake"
1,"Ram,Varun"
1,"Cekovsky,Michal"
2,"Mijovic,Milan"
3,"Torres,Austin"
1,"Dalton,Spenser"
4,"Jordan,Aaron"
2,"Austin,Alex"
1,"Liss,Cameron"
3,"Hart,Matt"
3,"Baumann,Javon"
1,"Jackson II,William"
3,"Martinez,Cole"
1,"Evans,Austin"
1,"Miller,Rayshawn"
1,"Brooks,Doug"
1,"Hunter,Marlon"
1,"Love,Lionel"
3,"Idris,Teslim"
2,"Felder,Isaiah"
1,"Friend,Devon"
8,"Okoroh,Kingsley"
1,"Saprykinas,Haroldas"
1,"Troutt,Grant"
2,"Lewis,O.J."
4,"Michelsen,Oskar"
2,"Williams,Matt"
1,"Giamoukis,Manu"
1,"Faines,Kamau"
2,"Francis-Ramirez,Brandone"
4,"Moran,John"
3,"Watson,Paul"
1,"West,D'Angelo"
1,"Enos,Dyrbe"
6,"Wagner,Ahmad"
3,"Taylor,Kenneth"
1,"Thomas,Jonathan"
1,"Schoen,Mason"
1,"Manning,Evan"
1,"Young,Clay"
3,"Gomez,Primitivo"
4,"Vassor,Stephen"
1,"Phillips,Joshua"
1,"Jackson,Trevis"
1,"Boehning,Bryden"
3,"Kuiper,Dane"
1,"Dalton,Spenser"
1,"Coleman,Justin"
1,"White,Stilman"
4,"Laster,Mike"
1,"McDonald,Jaylin"
1,"Frayer,Sam"
1,"Crabtree,Drew"
4,"James,Christian"
2,"Davis,Jackson"
2,"Edwards,Drew"
3,"Harrell,Ronnie"
1,"Smith,Joseff"
1,"Andrews,Rashad"
1,"Smith,Patrick"
1,"Pierre-Louis,Thomas"
1,"Williams,Riyan"
1,"Jorgenson,Travis"
